,Area,Item,Element,Unit,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ISO3
1,Afghanistan,Forest products (export/import),Export Value,1000 US$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,400.0,126.0,174.0,174.0,226.0,303.0,416.0,300.0,300.0,1614.0,4836.0,8554.0,8554.0,2087.0,8874.0,5187.0,6239.0,7272.0,8130.0,6647.0,6640.0,3619.0,3825.0,4574.0,3134.0,3931.0,3604.0,1163.0,AFG
251,Albania,Forest products (export/import),Export Value,1000 US$,850.0,390.0,300.0,395.0,730.0,565.0,965.0,820.0,1105.0,730.0,730.0,730.0,790.0,800.0,841.0,730.0,750.0,770.0,800.0,830.0,1100.0,710.0,710.0,710.0,710.0,600.0,711.0,309.0,524.0,762.0,768.0,956.0,6603.0,6169.0,6169.0,603.0,6592.0,4217.0,7008.0,5867.0,36496.0,5263.0,7413.0,7413.0,7413.0,7413.0,7413.0,7413.0,7082.0,7117.0,9962.0,10305.0,10716.0,11589.0,12368.0,12412.0,6552.0,4318.0,7426.0,12251.0,ALB
586,Algeria,Forest products (export/import),Export Value,1000 US$,5007.0,5007.0,5007.0,5000.0,5000.0,5000.0,5000.0,3429.0,3131.0,3322.0,2533.0,2510.0,1502.0,1502.0,1502.0,1502.0,1502.0,,,,,,,,,,0.0,,,148.0,,2667.0,493.0,320.0,366.0,427.0,387.0,91.0,0.0,264.0,65.0,6.0,3518.0,2767.0,3314.0,1591.0,4056.0,4731.0,14384.0,37699.0,49223.0,12109.0,13514.0,14516.0,12679.0,10459.0,18383.0,11836.0,13496.0,13779.0,DZA
996,Andorra,Forest products (export/import),Export Value,1000 US$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,1685.0,74.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,93.0,57.0,77.0,101.0,1374.0,2202.0,AND
1200,Angola,Forest products (export/import),Export Value,1000 US$,2582.0,3039.0,3039.0,3323.0,3743.0,4683.0,4852.0,9695.0,11472.0,11394.0,10525.0,11306.0,16247.0,14736.0,359.0,,,,,,,,,,19.0,235.0,71.0,65.0,262.0,73.0,0.0,649.0,644.0,863.0,863.0,94.0,2314.0,1101.0,1794.0,2862.0,1071.0,779.0,1176.0,2885.0,2885.0,3041.0,2887.0,7124.0,8491.0,7880.0,7552.0,13201.0,8267.0,12994.0,19715.0,40137.0,55735.0,49507.0,44251.0,15913.0,AGO
1583,Antigua and Barbuda,Forest products (export/import),Export Value,1000 US$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,33.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,132.0,131.0,133.0,143.0,146.0,199.0,218.0,216.0,609.0,188.0,199.0,ATG
1744,Argentina,Forest products (export/import),Export Value,1000 US$,222.0,154.0,275.0,344.0,229.0,23.0,48.0,973.0,1854.0,1625.0,1503.0,4474.0,15359.0,28472.0,5226.0,8372.0,13634.0,14441.0,19657.0,16401.0,12456.0,11092.0,20400.0,23595.0,41100.0,36206.0,34766.0,113653.0,118072.0,176695.0,150294.0,109938.0,86140.0,112675.0,272752.0,264028.0,284118.0,254432.0,224651.0,292503.0,234311.0,282664.0,366143.0,565738.0,488813.0,552211.0,545156.0,556950.0,525237.0,627667.0,592254.0,465630.0,463375.0,433628.0,356873.0,316371.0,370703.0,417684.0,428778.0,411511.0,ARG
2098,Armenia,Forest products (export/import),Export Value,1000 US$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,11.0,11.0,49.0,146.0,146.0,641.0,1378.0,1009.0,1293.0,1132.0,878.0,598.0,601.0,495.0,318.0,556.0,356.0,273.0,3770.0,454.0,1398.0,977.0,1620.0,948.0,533.0,454.0,ARM
2618,Australia,Forest products (export/import),Export Value,1000 US$,10297.0,10029.0,10192.0,12022.0,12969.0,11207.0,17223.0,13367.0,14390.0,16928.0,26739.0,45737.0,97080.0,130189.0,100531.0,91757.0,117531.0,127688.0,147687.0,218408.0,258110.0,235843.0,187601.0,217927.0,202146.0,212170.0,315417.0,325467.0,396453.0,419385.0,487923.0,475059.0,539008.0,659186.0,742345.0,740706.0,826650.0,664373.0,715450.0,804949.0,779705.0,981232.0,1055288.0,1346079.0,1384980.0,1487804.0,1723445.0,1928391.0,1493378.0,1928817.0,2028166.0,1837505.0,1943450.0,2162185.0,2070348.0,2240955.0,2624498.0,2742969.0,2579616.0,2042680.0,AUS
2995,Austria,Forest products (export/import),Export Value,1000 US$,182420.0,178715.0,171052.0,171757.0,182831.0,205727.0,206153.0,246944.0,297219.0,342962.0,356365.0,404153.0,639215.0,873829.0,680408.0,937221.0,1029988.0,1157970.0,1569234.0,1882685.0,1550484.0,1318678.0,1288003.0,1285642.0,1322523.0,1860434.0,2283607.0,2570503.0,2877976.0,3125433.0,3301269.0,3494858.0,2752242.0,3326107.0,4156605.0,4295513.0,3834619.0,3952906.0,4215587.0,4298123.0,3940051.0,4622568.0,5517253.0,6211061.0,6018589.0,6649248.0,8171680.0,8303265.0,6406772.0,6991378.0,7536655.0,6899098.0,7107337.0,7301882.0,6240473.0,6328159.0,6534640.0,7217042.0,6630665.0,6101193.0,AUT
3377,Azerbaijan,Forest products (export/import),Export Value,1000 US$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,136.0,111.0,173.0,161.0,837.0,1676.0,668.0,1126.0,594.0,623.0,1046.0,1787.0,1830.0,1951.0,942.0,984.0,754.0,1012.0,813.0,1886.0,2896.0,2896.0,1685.0,4097.0,4401.0,2138.0,1734.0,2722.0,AZE
3710,Bahamas,Forest products (export/import),Export Value,1000 US$,2797.0,3603.0,2559.0,4324.0,3682.0,4040.0,3680.0,4030.0,5510.0,6044.0,6234.0,6346.0,4196.0,2715.0,1563.0,1990.0,1207.0,,,,,,,,,,0.0,,,3.0,,442.0,557.0,471.0,354.0,367.0,0.0,46.0,245.0,321.0,43.0,261.0,691.0,914.0,914.0,907.0,1120.0,1235.0,1164.0,1222.0,1360.0,1363.0,1263.0,1289.0,1334.0,1600.0,1242.0,1168.0,787.0,1077.0,BHS
3966,Bahrain,Forest products (export/import),Export Value,1000 US$,,,,,,,207.0,208.0,99.0,62.0,15.0,10.0,21.0,21.0,21.0,,,,,,,,,,,,0.0,,,,6.0,83.0,51.0,48.0,290.0,200.0,0.0,23.0,21.0,18380.0,7906.0,1871.0,14701.0,18345.0,29656.0,3030.0,2413.0,2463.0,5724.0,4867.0,12693.0,10423.0,6999.0,10077.0,8235.0,7498.0,9838.0,7980.0,5781.0,6451.0,BHR
4230,Bangladesh,Forest products (export/import),Export Value,1000 US$,,,,,,,,,,,144.0,5111.0,2809.0,2667.0,1830.0,3235.0,5518.0,6643.0,6950.0,10030.0,6664.0,7464.0,6264.0,16046.0,14926.0,7602.0,7602.0,7412.0,9752.0,3215.0,8871.0,3980.0,253.0,264.0,100.0,31.0,573.0,14405.0,14400.0,14400.0,0.0,101.0,421.0,2024.0,2024.0,323.0,1067.0,1861.0,2990.0,3251.0,3051.0,3491.0,5730.0,6854.0,6900.0,6343.0,12597.0,16521.0,10128.0,15676.0,BGD
4520,Barbados,Forest products (export/import),Export Value,1000 US$,0.0,0.0,0.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,54.0,73.0,51.0,762.0,0.0,0.0,0.0,0.0,0.0,91.0,213.0,315.0,315.0,315.0,234.0,548.0,1026.0,4913.0,4524.0,4524.0,1681.0,1304.0,13841.0,12466.0,722.0,850.0,983.0,835.0,929.0,BRB
4783,Belarus,Forest products (export/import),Export Value,1000 US$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21800.0,35753.0,40029.0,55572.0,75923.0,72129.0,100307.0,153501.0,173070.0,156956.0,180845.0,258422.0,258422.0,258422.0,258422.0,258422.0,187055.0,380454.0,469770.0,426957.0,445910.0,581505.0,712722.0,634072.0,775251.0,1029514.0,1303540.0,1339432.0,1460073.0,BLR
5124,Belgium,Forest products (export/import),Export Value,1000 US$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3660200.0,3377422.0,3305388.0,4065428.0,4623436.0,4892906.0,5625967.0,6939469.0,7107923.0,5133701.0,5823363.0,6054926.0,4609792.0,4700173.0,5943556.0,5228905.0,5201381.0,5745448.0,5974217.0,5550965.0,5519721.0,BEL
5796,Belize,Forest products (export/import),Export Value,1000 US$,2895.0,1597.0,2464.0,3315.0,2145.0,2130.0,1002.0,904.0,902.0,1103.0,913.0,836.0,1194.0,2523.0,2515.0,1145.0,1155.0,969.0,1915.0,1737.0,1384.0,1707.0,1408.0,1061.0,545.0,662.0,2445.0,1210.0,2183.0,1069.0,2965.0,3154.0,751.0,5103.0,2377.0,1529.0,1529.0,3153.0,3465.0,5691.0,3816.0,2259.0,4063.0,3285.0,3285.0,4204.0,3858.0,14875.0,9642.0,9754.0,11918.0,9835.0,4932.0,8265.0,9537.0,7746.0,4914.0,4074.0,3301.0,2511.0,BLZ
6055,Benin,Forest products (export/import),Export Value,1000 US$,6.0,7.0,2.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,4.0,482.0,265.0,782.0,793.0,1048.0,1754.0,989.0,931.0,1356.0,1677.0,5679.0,9428.0,17330.0,17866.0,19933.0,19776.0,23922.0,15879.0,37763.0,98557.0,128128.0,136758.0,208567.0,99688.0,57521.0,42476.0,49213.0,33309.0,26588.0,BEN
6410,Bhutan,Forest products (export/import),Export Value,1000 US$,,,,,,,,,,,,,,,,,,501.0,501.0,501.0,501.0,501.0,501.0,501.0,286.0,89.0,132.0,438.0,4511.0,10487.0,10481.0,421.0,23.0,32.0,24.0,24.0,101.0,156.0,156.0,121.0,97.0,93.0,2949.0,4991.0,4991.0,5288.0,7336.0,7511.0,7596.0,8247.0,6118.0,7233.0,6501.0,6527.0,2489.0,2138.0,3054.0,2966.0,3420.0,2485.0,BTN
