country,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,ISO3,lat,lon
Afghanistan,1190.0,419.0,587.0,443.0,490.0,8784.0,10827.0,22155.0,28090.0,49061.0,58051.0,58158.0,77394.0,92659.0,125464.0,124670.0,104610.0,103487.0,97147.0,83252.0,137688.0,AFG,33.0,65.0
Albania,11841.0,12929.0,9991.0,11830.0,13194.0,7368.0,10940.0,37045.0,32492.0,60003.0,59371.0,58798.0,66373.0,75686.0,80312.0,51187.0,70358.0,79508.0,58560.0,74116.0,84730.0,ALB,41.0,20.0
Algeria,195092.0,230389.0,359735.0,246121.0,232823.0,206904.0,485352.0,571688.0,391588.0,619348.0,783961.0,724972.0,927198.0,1070765.0,1258201.0,1228235.0,1232249.0,1487160.0,1096391.0,1145113.0,881358.0,DZA,28.0,3.0
Angola,4572.0,3869.0,3303.0,-408.0,2249.0,4086.0,7019.0,13859.0,10002.0,27005.0,30818.0,54718.0,16930.0,38014.0,78159.0,61716.0,99720.0,109264.0,58834.0,19168.0,19267.0,AGO,-12.5,18.5
Argentina,611681.0,666644.0,547555.0,445434.0,396113.0,-39160.0,-70913.0,-16703.0,98949.0,85148.0,239986.0,335188.0,180611.0,319804.0,529482.0,480441.0,442665.0,447293.0,589164.0,505127.0,495264.0,ARG,-34.0,-64.0
Armenia,1794.0,1554.0,10665.0,13462.0,2234.0,1384.0,13266.0,15906.0,17097.0,34847.0,58605.0,87664.0,67458.0,64802.0,76976.0,75902.0,67746.0,84800.0,44472.0,52246.0,77411.0,ARM,40.0,45.0
Australia,1159407.0,1195183.0,1163649.0,1364535.0,756868.0,766758.0,925498.0,1281858.0,1085854.0,1176633.0,1191261.0,1121478.0,857579.0,962504.0,896706.0,676375.0,969599.0,782921.0,437312.0,573475.0,543030.0,AUS,-27.0,133.0
Austria,-2272809.0,-1666056.0,-1601114.0,-1569795.0,-1790105.0,-2520036.0,-1632592.0,-2973188.0,-2798650.0,-2690537.0,-3706421.0,-3590265.0,-2792620.0,-2520272.0,-3029539.0,-2462498.0,-1794032.0,-2056489.0,-1668278.0,-2432159.0,-2588492.0,AUT,47.3333,13.3333
Azerbaijan,23734.0,29553.0,21299.0,32639.0,26117.0,32572.0,36297.0,74697.0,103192.0,137233.0,80623.0,103512.0,104391.0,139166.0,256186.0,246222.0,257097.0,110353.0,191740.0,167438.0,211339.0,AZE,40.5,47.5
Bahamas,29992.0,26488.0,28953.0,32670.0,28254.0,22799.0,17259.0,24862.0,50504.0,28506.0,25795.0,41873.0,25251.0,22738.0,27015.0,31923.0,30596.0,42168.0,36782.0,41980.0,18886.0,BHS,24.25,-76.0
Bahrain,23743.0,30247.0,24287.0,20172.0,19630.0,-1025.0,43076.0,44723.0,39211.0,73612.0,102251.0,63296.0,45626.0,108230.0,98395.0,64227.0,83026.0,155760.0,151362.0,153961.0,82003.0,BHR,26.0,50.55
Bangladesh,43287.0,125670.0,90852.0,121104.0,107293.0,68352.0,13503.0,57752.0,150378.0,230339.0,215137.0,187291.0,300304.0,331632.0,472502.0,380294.0,455515.0,578242.0,409798.0,739652.0,696164.0,BGD,24.0,90.0
Barbados,50244.0,47868.0,30234.0,26584.0,25406.0,20251.0,24663.0,28244.0,37411.0,34727.0,42224.0,40048.0,28868.0,34326.0,35080.0,27896.0,30283.0,33327.0,20708.0,26602.0,22391.0,BRB,13.1667,-59.5333
Belarus,-23286.0,-43410.0,-6070.0,30672.0,12101.0,-37960.0,-38912.0,-79347.0,-131876.0,26653.0,-59714.0,155899.0,129093.0,101503.0,51077.0,-50469.0,-77195.0,-111505.0,-302100.0,-319858.0,-620361.0,BLR,53.0,28.0
Belgium,0.0,0.0,0.0,957694.0,785265.0,50777.0,1362409.0,-187882.0,190145.0,372188.0,48654.0,1335162.0,-20196.0,-45404.0,-183405.0,-174000.0,-140051.0,320923.0,253538.0,458878.0,-40090.0,BEL,50.8333,4.0
Belize,1034.0,824.0,-203.0,7368.0,1807.0,-42.0,-800.0,1048.0,3342.0,5343.0,6154.0,-17752.0,-10985.0,3271.0,-10301.0,-58.0,6644.0,8241.0,8711.0,9964.0,11066.0,BLZ,17.25,-88.75
Benin,-86.0,449.0,2145.0,2159.0,1648.0,1519.0,-2101.0,-16253.0,4270.0,9105.0,-2435.0,-4806.0,-6500.0,-3028.0,-82091.0,-103631.0,35392.0,-32371.0,-3209.0,-18693.0,-4703.0,BEN,9.5,2.25
Bhutan,642.0,382.0,88.0,324.0,-120.0,-6.0,-4526.0,-3874.0,98.0,819.0,-4221.0,10175.0,9802.0,13323.0,22661.0,-4486.0,755.0,9839.0,5169.0,3326.0,2052.0,BTN,27.5,90.5
Bolivia (Plurinational State of),-40309.0,-31551.0,-6655.0,8375.0,8771.0,-5144.0,13471.0,12203.0,-237.0,-5457.0,-2350.0,16362.0,18452.0,22965.0,57915.0,58017.0,79810.0,95608.0,89959.0,101165.0,121098.0,BOL,-17.0,-65.0
Bosnia and Herzegovina,-34859.0,-44293.0,-68908.0,-56913.0,-49509.0,-73219.0,-46796.0,-57950.0,-55526.0,-65431.0,-79274.0,-15467.0,-9002.0,-75903.0,-135529.0,-149917.0,-169016.0,-154406.0,-185110.0,-158453.0,-153384.0,BIH,44.0,18.0
Brazil,-1278737.0,-977911.0,-1154798.0,-1573101.0,-1704487.0,-1898283.0,-1975026.0,-3878535.0,-4333498.0,-4295958.0,-5420484.0,-6295615.0,-4721818.0,-5844599.0,-6009053.0,-5702925.0,-6622177.0,-6850634.0,-7387805.0,-7644664.0,-9088062.0,BRA,-10.0,-55.0
