,Area,Item,Element,Unit,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ISO3
0,Afghanistan,Forest products (export/import),Import Value,1000 US$,,,,301.0,321.0,435.0,466.0,297.0,559.0,445.0,769.0,13309.0,22203.0,22203.0,21963.0,24061.0,26900.0,27091.0,27395.0,27800.0,30950.0,29313.0,29313.0,28978.0,2172.0,735.0,3060.0,3199.0,1003.0,1003.0,1003.0,1085.0,1590.0,1201.0,1040.0,1183.0,1637.0,934.0,1091.0,1166.0,1128.0,8119.0,18155.0,28135.0,31996.0,43348.0,61460.0,59801.0,80632.0,95791.0,129267.0,127306.0,106777.0,105516.0,95617.0,84509.0,96120.0,102693.0,67865.0,77207.0,AFG
250,Albania,Forest products (export/import),Import Value,1000 US$,1500.0,1700.0,1700.0,1600.0,1700.0,1100.0,950.0,1000.0,1450.0,1450.0,1450.0,1450.0,2069.0,2800.0,2600.0,2800.0,2900.0,3100.0,3400.0,3500.0,2800.0,445.0,445.0,445.0,1783.0,1885.0,1972.0,1695.0,2111.0,2111.0,2111.0,2666.0,8455.0,6848.0,6821.0,2986.0,19508.0,13913.0,18159.0,19098.0,36725.0,21733.0,26178.0,29542.0,29674.0,33632.0,36626.0,36626.0,37198.0,36307.0,98612.0,88131.0,91573.0,92541.0,92515.0,92555.0,70982.0,67975.0,114304.0,119087.0,ALB
585,Algeria,Forest products (export/import),Import Value,1000 US$,25928.0,23128.0,19568.0,15560.0,18048.0,16551.0,18950.0,23060.0,37205.0,57735.0,54123.0,40394.0,78279.0,187149.0,123002.0,89137.0,170924.0,132911.0,191317.0,216131.0,320306.0,297827.0,390106.0,380203.0,315882.0,319299.0,294476.0,361922.0,433713.0,323172.0,553916.0,253542.0,335458.0,384490.0,426136.0,337648.0,362933.0,309750.0,350646.0,313192.0,324828.0,333489.0,499991.0,571405.0,573333.0,487015.0,755789.0,734526.0,873221.0,1077325.0,1213677.0,1301958.0,1240727.0,1492657.0,1136050.0,1259640.0,1198724.0,1224931.0,952748.0,751206.0,DZA
995,Andorra,Forest products (export/import),Import Value,1000 US$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.0,249.0,6157.0,6000.0,6413.0,6383.0,6383.0,6383.0,6383.0,6383.0,6383.0,6383.0,6383.0,6383.0,6383.0,6383.0,6383.0,6383.0,6383.0,6383.0,6383.0,6383.0,6400.0,6523.0,6644.0,4618.0,4396.0,4642.0,5425.0,12450.0,12595.0,AND
1199,Angola,Forest products (export/import),Import Value,1000 US$,1251.0,1220.0,931.0,958.0,1714.0,1670.0,1927.0,2462.0,2951.0,3818.0,3995.0,4266.0,4746.0,5082.0,343.0,343.0,343.0,453.0,1000.0,750.0,477.0,517.0,517.0,258.0,7361.0,16926.0,24737.0,16985.0,7549.0,7957.0,9694.0,14862.0,4125.0,5257.0,5263.0,3132.0,5961.0,4769.0,5125.0,2314.0,2974.0,1900.0,8157.0,16666.0,16666.0,13546.0,38451.0,60029.0,57509.0,54977.0,90704.0,85520.0,110480.0,122804.0,78566.0,47297.0,54386.0,72610.0,61782.0,60742.0,AGO
1582,Antigua and Barbuda,Forest products (export/import),Import Value,1000 US$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7589.0,7631.0,2403.0,3735.0,3893.0,4607.0,4604.0,4604.0,4604.0,4604.0,4604.0,4604.0,4604.0,4604.0,4604.0,4604.0,4604.0,4604.0,4604.0,4604.0,6616.0,5143.0,6222.0,6638.0,6691.0,8317.0,11642.0,9821.0,7239.0,9589.0,13283.0,9488.0,ATG
1743,Argentina,Forest products (export/import),Import Value,1000 US$,96814.0,66506.0,60207.0,78571.0,103932.0,106097.0,92468.0,135341.0,164329.0,164936.0,159702.0,129532.0,157182.0,279381.0,269755.0,153334.0,185309.0,200353.0,295803.0,413063.0,338380.0,215060.0,175530.0,132981.0,88190.0,154695.0,176481.0,121307.0,94626.0,80492.0,105828.0,377844.0,448048.0,477706.0,672305.0,696331.0,824500.0,880643.0,739579.0,765597.0,620990.0,277164.0,388948.0,593559.0,626825.0,709617.0,841966.0,987940.0,690835.0,975724.0,1151726.0,1054298.0,1006858.0,959390.0,1017729.0,858131.0,859620.0,896723.0,781243.0,771908.0,ARG
2097,Armenia,Forest products (export/import),Import Value,1000 US$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,12.0,44.0,39.0,38.0,1848.0,720.0,720.0,7788.0,11034.0,11791.0,12246.0,16925.0,18190.0,29014.0,54599.0,59107.0,66903.0,64245.0,75724.0,84010.0,85956.0,97939.0,64554.0,65144.0,79479.0,99921.0,104576.0,88245.0,ARM
2617,Australia,Forest products (export/import),Import Value,1000 US$,128839.0,101517.0,117161.0,123271.0,138329.0,127697.0,136600.0,176891.0,182234.0,204442.0,236702.0,211486.0,303047.0,465564.0,484977.0,423081.0,539878.0,524680.0,621407.0,753883.0,813391.0,866255.0,601906.0,752000.0,823984.0,795454.0,859897.0,1236647.0,1459178.0,1441164.0,1217229.0,1212937.0,1343360.0,1560899.0,1820627.0,1853451.0,1498010.0,1408289.0,1575485.0,1768830.0,1246805.0,1413405.0,1537755.0,1849968.0,1975880.0,1965944.0,2151095.0,2367363.0,1798025.0,2415535.0,2614543.0,2466687.0,2225781.0,2278260.0,1989839.0,1989205.0,2024681.0,2209709.0,1960711.0,1831297.0,AUS
2994,Austria,Forest products (export/import),Import Value,1000 US$,16778.0,15655.0,20818.0,27410.0,28222.0,38423.0,44137.0,58967.0,68505.0,101622.0,110616.0,137289.0,231822.0,354620.0,283746.0,337371.0,378318.0,392524.0,540435.0,730565.0,629188.0,597782.0,596305.0,619825.0,667670.0,876756.0,1125076.0,1208266.0,1351813.0,1415634.0,1609549.0,1766973.0,1452367.0,1801568.0,2086198.0,2199663.0,2016214.0,2141282.0,2442334.0,2608680.0,2192945.0,2231703.0,2657664.0,3124799.0,3135428.0,3682935.0,4179743.0,4244474.0,3515657.0,4060726.0,4569482.0,4213561.0,4424627.0,4382042.0,3773807.0,3807144.0,3997593.0,4423503.0,3869454.0,3709175.0,AUT
3376,Azerbaijan,Forest products (export/import),Import Value,1000 US$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,94.0,141.0,678.0,13813.0,22763.0,21672.0,22119.0,31500.0,26795.0,27857.0,36839.0,45450.0,59888.0,62363.0,81860.0,102997.0,101100.0,181919.0,278235.0,285646.0,286831.0,286831.0,226979.0,188947.0,228819.0,309886.0,313808.0,285506.0,AZE
3709,Bahamas,Forest products (export/import),Import Value,1000 US$,2200.0,2355.0,2413.0,2825.0,2513.0,3192.0,3902.0,3899.0,8322.0,6686.0,6686.0,4743.0,5473.0,5841.0,4740.0,5371.0,4471.0,4612.0,6418.0,7504.0,7719.0,7404.0,7916.0,7812.0,9149.0,21279.0,17052.0,34169.0,42904.0,27853.0,15705.0,19313.0,19884.0,22353.0,24271.0,27576.0,30689.0,27798.0,30414.0,15150.0,17928.0,11134.0,10980.0,18244.0,18387.0,21116.0,26897.0,29841.0,23713.0,22244.0,27053.0,35902.0,31508.0,51926.0,53324.0,52011.0,26683.0,36356.0,53666.0,61048.0,BHS
